start_station_name,end_station_name,member_casual,date,avg_temp,value,month,day_of_week,season
Central Park W & W 103 St,Central Park W & W 91 St,casual,2022-01-01,11.6,1,1,Saturday,winter
E 74 St & 1 Ave,E 85 St & 3 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
E 74 St & 1 Ave,E 85 St & 3 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
Edgecombe Ave & W 150 St,Convent Ave & W 151 St,member,2022-01-01,11.6,1,1,Saturday,winter
E 65 St & 2 Ave,E 63 St & 3 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
2 Ave & E 31 St,E 13 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
6 Ave & 9 St,4 Ave & 9 St,member,2022-01-01,11.6,1,1,Saturday,winter
E 106 St & Madison Ave,E 106 St & Madison Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 85 St & 3 Ave,1 Ave & E 62 St,member,2022-01-01,11.6,1,1,Saturday,winter
Frederick Douglass Blvd & W 145 St,St Nicholas Ave & W 137 St,member,2022-01-01,11.6,1,1,Saturday,winter
Adelphi St & Myrtle Ave,Duffield St & Willoughby St,member,2022-01-01,11.6,1,1,Saturday,winter
Pier 40 - Hudson River Park,6 Ave & Broome St,member,2022-01-01,11.6,1,1,Saturday,winter
Greenwich Ave & Charles St,6 Ave & Broome St,casual,2022-01-01,11.6,1,1,Saturday,winter
Fulton St & Utica Ave,Albany Ave & Fulton St,member,2022-01-01,11.6,1,1,Saturday,winter
Clinton St & Cherry St,Henry St & Grand St,member,2022-01-01,11.6,1,1,Saturday,winter
Kingsland Ave & Nassau Ave,W 55 St & 6 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
2 Ave & E 96 St,1 Ave & E 110 St,member,2022-01-01,11.6,1,1,Saturday,winter
West End Ave & W 78 St,Amsterdam Ave & W 82 St,member,2022-01-01,11.6,1,1,Saturday,winter
Madison Ave & E 99 St,Central Park North & Adam Clayton Powell Blvd,casual,2022-01-01,11.6,1,1,Saturday,winter
Fulton St & Broadway,West Thames St,member,2022-01-01,11.6,1,1,Saturday,winter
E 33 St & 1 Ave,Clinton St & Cherry St,casual,2022-01-01,11.6,1,1,Saturday,winter
Carroll St & 6 Ave,4 Ave & 9 St,casual,2022-01-01,11.6,1,1,Saturday,winter
Mercer St & Bleecker St,W 24 St & 7 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
E 12 St & Ave C,Allen St & Stanton St,member,2022-01-01,11.6,1,1,Saturday,winter
Broadway & E 21 St,E 23 St & 1 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
W 90 St & Amsterdam Ave,W 90 St & Amsterdam Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Suffolk St & Stanton St,E 39 St & 2 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Willoughby Ave & Hall St,11 Ave & Prospect Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Hanson Pl & Ashland Pl,4 Ave & 17 St,member,2022-01-01,11.6,1,1,Saturday,winter
35 St & 30 Ave,38 St & 30 Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Putnam Ave & Throop Ave,Bedford Ave & Nassau Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
S Portland Ave & Hanson Pl,Lafayette Ave & Classon Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
W 42 St & 6 Ave,11 Ave & W 41 St,casual,2022-01-01,11.6,1,1,Saturday,winter
Myrtle Ave & Fleet Pl,Clinton Ave & Myrtle Ave,member,2022-01-01,11.6,1,1,Saturday,winter
Central Ave & Covert St,Metropolitan Ave & Bedford Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
6 Ave & W 33 St,E 48 St & 5 Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
W 147 St & Adam Clayton Powell Blvd,Frederick Douglass Blvd & W 145 St,member,2022-01-01,11.6,1,1,Saturday,winter
W 20 St & 7 Ave,Cleveland Pl & Spring St,member,2022-01-01,11.6,1,1,Saturday,winter
31 St & Broadway,N 6 St & Bedford Ave,casual,2022-01-01,11.6,1,1,Saturday,winter
